address,city,state,datetime,numrounds,shotspotterflexid,lat,long
3604 E OLIVE ,Fresno,CA,07/03/2015 17:34:51,1,1402,36.7576251948,-119.764594418
2238 E CLAY ,Fresno,CA,07/03/2015 21:48:36,5,1600,36.7559475481,-119.784565599
1232 N COLLEGE AVE,Fresno,CA,07/05/2015 19:13:34,2,3898,36.7582745768,-119.797875111
604 N FOURTH ,Fresno,CA,07/07/2015 02:07:46,1,4403,36.7518801397,-119.766851831
3025 E WASHINGTON ,Fresno,CA,07/08/2015 00:21:06,3,4461,36.7478209805,-119.773943204
707 N PARK ,Fresno,CA,07/10/2015 23:35:31,1,4614,36.7524456472,-119.796790169
2311 E LEWIS AVE,Fresno,CA,07/12/2015 05:32:08,1,4735,36.7548715378,-119.783178641
750 N FIRST ,Fresno,CA,07/12/2015 22:41:08,10,4785,36.7539737429,-119.771935152
3480 E HARVEY ,Fresno,CA,07/14/2015 02:19:06,6,4846,36.7544380610,-119.765834781
180 E,Fresno,CA,07/14/2015 02:19:13,4,4847,36.7548898144,-119.763313147
2970 E ILLINOIS ,Fresno,CA,07/14/2015 00:14:06,1,4841,36.7446931831,-119.775119960
336 N COLLEGE ,Fresno,CA,07/16/2015 01:20:00,1,4924,36.7479405800,-119.797572819
446 N GLENN ,Fresno,CA,07/18/2015 02:43:30,1,4984,36.7493651686,-119.792700300
1458 E ENGLEWOOD,Fresno,CA,07/18/2015 20:47:18,3,,36.7540760000,-119.793683000
302 N EFFIE ,Fresno,CA,07/21/2015 00:20:29,7,5137,36.7468774292,-119.787907344
999 N THORNE ,Fresno,CA,07/21/2015 01:28:40,5,5144,36.7557506809,-119.813209010
533 N FISHER ,Fresno,CA,07/22/2015 03:13:57,4,5172,36.7512830369,-119.770285714
3053 E PLATT ,Fresno,CA,07/23/2015 01:17:32,1,5196,36.7418596520,-119.774469518
935 N PALM ,Fresno,CA,07/23/2015 04:23:17,3,5197,36.7546968643,-119.808942039
935 N PALM ,Fresno,CA,07/23/2015 04:23:17,3,5197,36.7546968643,-119.808942039
925 N PALM ,Fresno,CA,07/25/2015 07:03:41,6,5254,36.7545100199,-119.808900225
925 N PALM ,Fresno,CA,07/25/2015 07:03:41,6,5254,36.7545100199,-119.808900225
547 N THIRD ,Fresno,CA,07/31/2015 02:03:22,1,5389,36.7512991833,-119.769448422
1112 E LA SIERRA ,Fresno,CA,08/01/2015 21:49:56,1,5429,36.7545652979,-119.797306223
337 N SAN PABLO ,Fresno,CA,08/02/2015 00:38:07,6,5433,36.7474764573,-119.794930000
3645 E CLAY ,Fresno,CA,08/03/2015 23:30:10,1,5473,36.7570041730,-119.763430374
916 N FULTON ,Fresno,CA,08/04/2015 01:12:08,1,5482,36.7541333096,-119.799959843
451 N DIANA ST,Fresno,CA,08/07/2015 01:54:54,10,5548,36.7496868740,-119.787312466
3111 E GRANT ,Fresno,CA,08/07/2015 21:29:47,5,5566,36.7487836124,-119.772134049
941 N PALM ,Fresno,CA,08/12/2015 00:20:36,1,5641,36.7547997633,-119.808723625
116 N CALAVERAS ,Fresno,CA,08/13/2015 21:13:55,3,5678,36.7443739303,-119.791887441
,Fresno,CA,,4,,,
2972 E BELMONT ,Fresno,CA,08/15/2015 21:05:20,1,5719,36.7501729765,-119.775353349
232 S CALLISCH ST,Fresno,CA,08/18/2015 04:03:54,4,5759,36.7422664176,-119.775485329
2980 E TULARE ,Fresno,CA,08/20/2015 03:56:03,8,5779,36.7425586610,-119.775616937
,Fresno,CA,08/21/2015 02:56:09,8,5800,36.7550357899,-119.775470669
,Fresno,CA,,1,,,
,Fresno,CA,,6,,,
3214 E OLIVE ,Fresno,CA,08/29/2015 01:21:24,1,5889,36.7575142080,-119.771122207
271 N MARIPOSA ,Fresno,CA,08/30/2015 20:20:38,1,5915,36.7463770366,-119.779404292
297 N BLACKSTONE AVE,Fresno,CA,09/01/2015 20:54:43,5,5959,36.7466862067,-119.790866624
