initialucr,eventnumber,initialtype,finaltype,datetimereceived,eventaddress,reportingdistrict,source,beat,district,city,state,month,day,year,yearfrac,yearmonth
Shots Fired,131950777,957S,DISCHARGE OF FIREARMS,7/14/2013 21:35,5700 LORRAINE AV,,2013-2014,,,Stockton,CA,7,14,2013,13.53611111,163
Shots Fired,132120004,957S,957S,7/31/2013 0:04,1816 E EIGHTH ST,PAR,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132120845,957S,957S,7/31/2013 19:26,1607 S AURORA ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132120851,957S,957S,7/31/2013 19:32,1620 S GRANT ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132120878,957S,957S,7/31/2013 20:09,539 W EIGHTH ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132120932,957S,957S,7/31/2013 21:32,71 W SEVENTH ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132121013,957S,957S,7/31/2013 23:13,1620 S GRANT ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132121014,957S,957S,7/31/2013 23:13,741 E SECOND ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132121029,957S,957S,7/31/2013 23:30,270 W NINTH ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132121045,957S,957S,7/31/2013 23:53,211 E EIGHTH ST,SEA,2013-2014,,,Stockton,CA,7,31,2013,13.58333333,163
Shots Fired,132150030,957S,957S,8/3/2013 0:54,2318 S AIRPORT WY,PAR,2013-2014,,,Stockton,CA,8,3,2013,13.58888889,164
Shots Fired,132150137,957S,957S,8/3/2013 3:52,2318 S AIRPORT WY,PAR,2013-2014,,,Stockton,CA,8,3,2013,13.58888889,164
Shots Fired,132150189,957S,957S,8/3/2013 5:53,634 E FOURTH ST,SEA,2013-2014,,,Stockton,CA,8,3,2013,13.58888889,164
Shots Fired,132150517,957S,957S,8/3/2013 14:33,2130 S AIRPORT WY,PAR,2013-2014,,,Stockton,CA,8,3,2013,13.58888889,164
Shots Fired,132150048,957S,957S,8/3/2013 16:10,2318 S AIRPORT WY,PAR,2013-2014,,,Stockton,CA,8,3,2013,13.58888889,164
Shots Fired,132150997,957S,957S,8/3/2013 22:53,1849 E EIGHTH ST,PAR,2013-2014,,,Stockton,CA,8,3,2013,13.58888889,164
Shots Fired,132160009,957S,957S,8/4/2013 0:06,2332 S AIRPORT WY,PAR,2013-2014,,,Stockton,CA,8,4,2013,13.59166667,164
Shots Fired,132160113,957S,957S,8/4/2013 2:09,2326 S AIRPORT WY,PAR,2013-2014,,,Stockton,CA,8,4,2013,13.59166667,164
Shots Fired,132160126,957S,957S,8/4/2013 2:32,267 W EIGHTH ST,SEA,2013-2014,,,Stockton,CA,8,4,2013,13.59166667,164
Shots Fired,132170028,957S,957S,8/5/2013 0:44,2314 SCRIBNER ST,PAR,2013-2014,,,Stockton,CA,8,5,2013,13.59444444,164
Shots Fired,132170072,957S,957S,8/5/2013 3:04,1654 E NINTH ST,PAR,2013-2014,,,Stockton,CA,8,5,2013,13.59444444,164
Shots Fired,132170899,957S,957S,8/5/2013 21:14,2317 PHELPS ST,PAR,2013-2014,,,Stockton,CA,8,5,2013,13.59444444,164
