Type,"Respond ID",Date,Time,Address,Zone,Rounds,"CAD ID",Beat,District,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Multiple Gunshots",661-163342,12/31/20,23:54:32,"20 blk Clyde St, Bakersfield, CA 93307",BakersfieldCA,7,20-240176,BP327,Metro,35.354883,-118.987983,1,rooftop,20,"Clyde St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-163340,12/31/20,23:54:10,"1200 blk Virginia Ave, Bakersfield, CA 93307",BakersfieldCA,6,20-240174,BP327,Metro,35.361356,-118.989284,1,range_interpolation,1200,"Virginia Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163320,12/31/20,23:51:10,"1200 blk Beale Ave, Bakersfield, CA 93305",BakersfieldCA,6,20-240170,BP304,Metro,35.380377,-118.98832,1,range_interpolation,1200,"Beale Ave",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163317,12/31/20,23:50:57,"1200 blk Virginia Ave, Bakersfield, CA 93307",BakersfieldCA,4,20-240173,BP327,Metro,35.361356,-118.989284,1,range_interpolation,1200,"Virginia Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163312,12/31/20,23:50:07,"300 blk Kincaid St, Bakersfield, CA 93307",BakersfieldCA,9,20-240169,BP327,Metro,35.359516,-118.993154,1,rooftop,300,"Kincaid St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-163307,12/31/20,23:49:29,"700 blk E 3rd St, Bakersfield, CA 93307",BakersfieldCA,3,20-240166,BP322,Metro,35.359653,-118.996073,1,rooftop,700,"E 3rd St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-163299,12/31/20,23:48:26,"900 blk Monterey St, Bakersfield, CA 93305",BakersfieldCA,7,20-240165,BP304,Metro,35.380353,-118.987673,1,rooftop,900,"Monterey St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-163298,12/31/20,23:48:04,"1200 blk Virginia Ave, Bakersfield, CA 93307",BakersfieldCA,13,20-240167,BP326,Metro,35.361356,-118.989284,1,range_interpolation,1200,"Virginia Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-163286,12/31/20,23:45:22,"1300 blk Gorrill St, Bakersfield, CA 93307",BakersfieldCA,6,20-240164,BP326,Metro,35.364214,-118.988396,1,rooftop,1300,"Gorrill St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-163283,12/31/20,23:44:57,"300 blk Tyree Toliver St, Bakersfield, CA 93307",BakersfieldCA,9,20-240163,BP327,Metro,35.359549,-118.98889,1,rooftop,300,"Tyree Toliver St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
