addr_st,addr_xst,city,state,address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"N U ST","E MCKENZIE AV",Fresno,CA,"N U ST and E MCKENZIE AV",36.746828,-119.780376,0.8,intersection,,"E McKenzie Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E BULLDOG LN","N FOURTH ST",Fresno,CA,"E BULLDOG LN and N FOURTH ST",36.812225,-119.765436,0.78,intersection,,"Bulldog Ln",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"W PRINCETON AV","N WEBER AV",Fresno,CA,"W PRINCETON AV and N WEBER AV",36.775925,-119.838133,1,intersection,,"N Weber Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N AUGUSTA ST","E TYLER AV",Fresno,CA,"N AUGUSTA ST and E TYLER AV",36.755625,-119.779968,1,intersection,,"E Tyler Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N VERNAL AV","W CAMBRIDGE AV",Fresno,CA,"N VERNAL AV and W CAMBRIDGE AV",36.769218,-119.863086,1,intersection,,"N Vernal Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E MCKENZIE AV","N FRESNO ST",Fresno,CA,"E MCKENZIE AV and N FRESNO ST",36.746819,-119.781488,1,intersection,,"E McKenzie Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E MICHIGAN AV","N VAN NESS BL",Fresno,CA,"E MICHIGAN AV and N VAN NESS BL",36.77673,-119.804082,1,intersection,,"E Michigan Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"S ARGYLE AV","E TULARE ST",Fresno,CA,"S ARGYLE AV and E TULARE ST",36.8411,-119.801015,0.5,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"S WOODROW AV","E HUNTINGTON AV",Fresno,CA,"S WOODROW AV and E HUNTINGTON AV",36.739542,-119.742632,1,intersection,,"E Huntington Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"E MONTECITO AV","S PIERCE AV",Fresno,CA,"E MONTECITO AV and S PIERCE AV",36.734007,-119.725625,0.92,intersection,,"E Montecito Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
