address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1826 Cutting Blvd",Richmond,CA,37.924898,-122.351456,1,rooftop,1826,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"628 40th St",Richmond,CA,37.938679,-122.330174,1,rooftop,628,"40th St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1831 Barrett Ave",Richmond,CA,37.93868,-122.3517,1,rooftop,1831,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"683 9th St",Richmond,CA,37.941897,-122.36113,1,rooftop,683,"9th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"315 Nevin Ave",Richmond,CA,37.937012,-122.366285,1,rooftop,315,"Nevin Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"235 4th St",Richmond,CA,37.934758,-122.365962,1,rooftop,235,"4th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"526 Florida Ave",Richmond,CA,37.929215,-122.364294,1,rooftop,526,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"13TH S St",Richmond,CA,37.943919,-122.357671,1,street_center,,"13th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"509 Florida Ave",Richmond,CA,37.929653,-122.364617,1,rooftop,509,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"622 5th St",Richmond,CA,37.940796,-122.364352,1,rooftop,622,"5th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1300 Roosevelt Ave",Richmond,CA,37.939804,-122.357119,1,range_interpolation,1300,"Roosevelt Ave",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"519 Florida Ave",Richmond,CA,37.929652,-122.364464,1,rooftop,519,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"2208 Potrero Ave",Richmond,CA,37.923721,-122.348191,1,rooftop,2208,"Potrero Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"18TH St",Richmond,CA,37.944186,-122.351925,1,street_center,,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"101 12th S St",Richmond,CA,37.932615,-122.358073,1,range_interpolation,101,"12th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"35 11th St",Richmond,CA,37.931933,-122.3593,1,rooftop,35,"11th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2922 Groom Dr",Richmond,CA,37.830119,-121.914302,0.67,nearest_rooftop_match,2950,"Deer Meadow Dr",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa County"
"29 6th St",Richmond,CA,37.931917,-122.364235,1,rooftop,29,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3030 Avon Ln",Richmond,CA,37.965222,-122.3252,0.86,rooftop,3030,"Avon Ln",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"149 6th S St",Richmond,CA,37.933245,-122.363901,1,range_interpolation,149,"6th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"12500 San Pablo Ave",Richmond,CA,37.940691,-122.327212,1,rooftop,12500,"San Pablo Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"234 12th S St",Richmond,CA,37.934632,-122.357747,1,range_interpolation,234,"12th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"100 Ohio W Ave",Richmond,CA,37.930629,-122.368736,1,rooftop,100,"Ohio Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"325 16th S St",Richmond,CA,37.927505,-122.354285,0.9,rooftop,325,"S 16th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
