address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"5700 LORRAINE AV",Stockton,CA,38.011187,-121.283618,1,rooftop,5700,"Lorraine Ave",,,Stockton,CA,"San Joaquin County",95210,US,"City of Stockton"
"1816 E EIGHTH ST",Stockton,CA,37.932773,-121.258698,1,rooftop,1816,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1607 S AURORA ST",Stockton,CA,37.937798,-121.275087,1,rooftop,1607,"S Aurora St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1620 S GRANT ST",Stockton,CA,37.937716,-121.276028,1,range_interpolation,1620,"S Grant St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"539 W EIGHTH ST",Stockton,CA,37.927316,-121.292912,1,rooftop,539,"W 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"71 W SEVENTH ST",Stockton,CA,37.929698,-121.284972,1,rooftop,71,"W 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"741 E SECOND ST",Stockton,CA,37.938141,-121.276483,1,rooftop,741,"E 2nd St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"270 W NINTH ST",Stockton,CA,37.925649,-121.287156,1,rooftop,270,"W 9th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"211 E EIGHTH ST",Stockton,CA,37.929343,-121.28158,1,rooftop,211,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2318 S AIRPORT WY",Stockton,CA,37.930223,-121.26611,1,rooftop,2318,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"634 E FOURTH ST",Stockton,CA,37.934907,-121.27734,1,rooftop,634,"E 4th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2130 S AIRPORT WY",Stockton,CA,37.932099,-121.266794,1,rooftop,2130,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1849 E EIGHTH ST",Stockton,CA,37.933502,-121.258169,1,rooftop,1849,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2332 S AIRPORT WY",Stockton,CA,37.92998,-121.266024,1,rooftop,2332,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2326 S AIRPORT WY",Stockton,CA,37.9301,-121.266058,1,rooftop,2326,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"267 W EIGHTH ST",Stockton,CA,37.928258,-121.288221,1,rooftop,267,"W 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2314 SCRIBNER ST",Stockton,CA,37.931559,-121.259042,1,rooftop,2314,"Scribner St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1654 E NINTH ST",Stockton,CA,37.931792,-121.259659,1,rooftop,1654,"E 9th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2317 PHELPS ST",Stockton,CA,37.930183,-121.265523,1,rooftop,2317,"Phelps St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"817 E FOURTH ST",Stockton,CA,37.935694,-121.275053,1,rooftop,817,"E 4th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
