Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
,181205325,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,8,A FEW SHOTS ...SHOWS TO BE NEAR THE EB PKY ONRAMP FROM GIANT ..... SPPD IS ALSO RESPONDING TO SOME AT 16 MURRA CT ... NO CALLS ON THESE ,3L8,"3L6, 3L8",2,,No,No,R23,UNABLE TO LOCATE,12/5/2018 20:02,12/5/2018 20:30,"RICHMOND PKWY & GIANT RD, RICHMOND PKWY & GIANT RD, RICHMOND, CA, 94806",-122.35279,37.9801
,181207016,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,Outside City Limits,OCL,OCL,"4 ROUNDS  /   AT  THE  FAR  NORTH END OF THE BART YARD
",1L4,"1L4, 1L6",2,,No,No,R23,UNABLE TO LOCATE,12/7/2018 1:17,12/7/2018 1:32,"1014 CHESLEY AVE, at DRIVEWAY, RICHMOND, CA, 94801",-122.359278,37.954655
,181207024,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"shot spotter
",1L7,"1L5, 1L7",2,,No,No,R23,UNABLE TO LOCATE,12/7/2018 1:56,12/7/2018 2:08,"254 24TH ST, EXCHANGE PL & MACDONALD AVE, RICHMOND, CA, 94804",-122.346324,37.935099
2018-2014409,181207359,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"SS
",3L6,"3L2, 3L4, 3L5, 3L6, E25, S55",6,,No,No,RTF,REPORT TO FOLLOW,12/7/2018 20:13,12/7/2018 20:55,"1800 ESMOND AVE, 18TH ST & 20TH ST, RICHMOND, CA, 94801",-122.353746,37.945782
,181207366,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,SHOT SPOTTER ACTIVATION,,,0,181207359,No,No,,,12/7/2018 20:20,,"1800 ESMOND AVE, 18TH ST & 20TH ST, RICHMOND, CA, 94801",-122.353746,37.945782
2018-2014411,181207385,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 5 Rounds at 615 15th St, Richmond, CA; December 7th 2018 20:59:42; ShotSpotter ID 63-185448; Dot (37.9404848758, -122.355707239)
",3L4,"3L2, 3L4, 3L5, 3L6",4,,No,No,RTF,REPORT TO FOLLOW,12/7/2018 21:02,12/7/2018 21:27,"615 15TH ST, PORTOLA AVE & PENNSYLVANIA AVE, RICHMOND, CA, 94801",-122.355559,37.940493
2018-2014418,181208030,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,2 ROUNDS,1L2,"1K5, 1L1, 1L2, 1L3, 1L4, 1L6, 1L7, E26",8,,No,No,RTF,REPORT TO FOLLOW,12/8/2018 2:08,12/8/2018 6:08,"460 S 17TH ST, RICHMOND, CA, 94804",-122.352859,37.925491
,181208032,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 2 Rounds at 460 17th S St, Richmond, CA; December 8th 2018 02:07:29; ShotSpotter ID 63-185469; Dot (37.9252950895, -122.352956808)",1L1,"1L1, E26",2,,No,No,NPA,NO POLICE ACTION,12/8/2018 2:09,12/8/2018 2:10,"460 S 17TH ST, RICHMOND, CA, 94804",-122.352859,37.925491
2018-2014437,181208227,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"9 ROUNDS 
",3L6,"3L1, 3L2, 3L4, 3L5, 3L6",5,,No,No,RTF,REPORT TO FOLLOW,12/8/2018 16:51,12/8/2018 17:24,"305 CHANSLOR AVE, 3RD ST & 4TH ST, RICHMOND, CA, 94801",-122.366621,37.932545
,181208312,P1,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,1 SHOT ,3L3,3L3,1,,No,No,R23,UNABLE TO LOCATE,12/8/2018 20:40,12/8/2018 21:21,"S 45TH ST & BERK AVE, S 45TH ST & BERK AVE, RICHMOND, CA, 94804",-122.32718,37.92271
