Type,Respond ID,Date,Time,Address,Zone,Rounds,CAD ID,Beat,District,Latitude,Longitude
Multiple Gunshots,99-415802,5/18/22,16:58:20,"1219 Miner Ave, San Pablo, CA 94806",SanPabloCA,7,141,1,,37.97952168,-122.3480651
Single Gunshot,99-415775,5/18/22,15:33:25,"212 Center Ct, San Pablo, CA 94806",SanPabloCA,1,123,1,,37.97607872,-122.3526958
Multiple Gunshots,99-414192,5/15/22,1:39:05,"918 John Ave, San Pablo, CA 94806",SanPabloCA,13,22.05.15.0018,1,,37.97923341,-122.3523907
Multiple Gunshots,99-414149,5/14/22,22:50:27,"911 John Ave, San Pablo, CA 94806",SanPabloCA,12,INCIDENT198,1,,37.97944843,-122.3524933
Multiple Gunshots,99-414105,5/14/22,18:24:24,"17 Hildalgo Ct, San Pablo, CA 94806",SanPabloCA,11,,1,,37.97971823,-122.3435308
Multiple Gunshots,99-414086,5/14/22,18:03:08,"925 Stanton Ave, San Pablo, CA 94806",SanPabloCA,4,146,1,,37.97890927,-122.3523292
Multiple Gunshots,99-414040,5/14/22,16:40:05,"1741 Acapulco Dr, San Pablo, CA 94806",SanPabloCA,4,,1,,37.97965101,-122.343438
Multiple Gunshots,99-414011,5/14/22,16:15:48,"1805 Pablo Vista Ave, San Pablo, CA 94806",SanPabloCA,25,,1,,37.97766525,-122.344727
Single Gunshot,99-412007,5/9/22,20:19:54,"1146 Amador St, San Pablo, CA 94806",SanPabloCA,1,,2,,37.94999201,-122.3263377
Probable Gunfire,99-411864,5/9/22,12:56:11,"212 Center Ct, San Pablo, CA 94806",SanPabloCA,4,CAD2205090097,1,,37.97552628,-122.3517832
Multiple Gunshots,99-411496,5/8/22,18:02:30,"1811 Pablo Vista Ave, San Pablo, CA 94806",SanPabloCA,10,96,1,,37.97821649,-122.3447549
Single Gunshot,99-411286,5/8/22,0:19:24,"2041 Espanola Dr, San Pablo, CA 94806",SanPabloCA,1,22.05.08.0002,1,,37.97910497,-122.3416736
Probable Gunfire,99-411278,5/7/22,22:46:52,"1936 Broadway Ave, San Pablo, CA 94806",SanPabloCA,2,157,1,,37.96903213,-122.3462278
Probable Gunfire,99-411084,5/7/22,13:43:32,"1011 Stanton Ave, San Pablo, CA 94806",SanPabloCA,2,CAD2205070068,1,,37.97875226,-122.3514474
Probable Gunfire,99-410231,5/7/22,1:19:33,"2810 19th St, San Pablo, CA 94806",SanPabloCA,1,22.05.07.0006,1,,37.97086252,-122.3458764
Single Gunshot,99-409830,5/4/22,22:57:03,"2645 Church Ln, San Pablo, CA 94806",SanPabloCA,1,,1,,37.96220802,-122.3376531
Probable Gunfire,99-407709,4/30/22,3:47:40,"5310 Riverside Ave, San Pablo, CA 94806",SanPabloCA,5,20,2,,37.95134911,-122.3277282
Multiple Gunshots,99-407405,4/29/22,9:10:40,"1108 Trenton Blvd, San Pablo, CA 94806",SanPabloCA,4,62,1,,37.96992596,-122.3526208
Single Gunshot,99-407031,4/26/22,18:51:16,"2121 Vale Rd, San Pablo, CA 94806",SanPabloCA,1,139,2,,37.95447768,-122.3370678
Multiple Gunshots,99-405569,4/21/22,21:24:15,"14800 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,3,,1,,37.97217586,-122.3430356
Multiple Gunshots,99-405547,4/21/22,19:09:06,"2300 El Portal Dr Suite I, San Pablo, CA 94806",SanPabloCA,10,,1,,37.96603095,-122.3427599
Single Gunshot,99-403964,4/18/22,0:19:48,"3300 Giant Rd, San Pablo, CA 94806",SanPabloCA,1,22.04.18.0003,1,,37.97927294,-122.3529032
Probable Gunfire,99-403811,4/17/22,10:23:53,"2768 10th St, San Pablo, CA 94806",SanPabloCA,5,22-0055,1,,37.9720623,-122.3535135
Multiple Gunshots,99-403125,4/16/22,3:02:44,"1150 Brookside Dr, San Pablo, CA 94806",SanPabloCA,2,19,3,,37.96337543,-122.3568891
Multiple Gunshots,99-402702,4/13/22,10:00:43,"941 Miner Ave, San Pablo, CA 94806",SanPabloCA,11,2204130056,1,,37.9799974,-122.351674
Probable Gunfire,99-402110,4/10/22,14:22:11,"2937 15th St, San Pablo, CA 94806",SanPabloCA,1,2204100109,1,,37.97418439,-122.3489467
Single Gunshot,99-400913,4/9/22,17:43:48,"2240 Rumrill Blvd, San Pablo, CA 94806",SanPabloCA,1,,1,,37.96467671,-122.3543493
Single Gunshot,99-400868,4/9/22,15:39:31,"1309 Miner Ave, San Pablo, CA 94806",SanPabloCA,1,,1,,37.979447,-122.347855
